value_eur_mn,age,height_cm,weight_kg,club_country,club_playing_status,club_contract_valid_until_year,work_rate_attack_defense,body_type,position,overall,pace,shooting,passing,dribbling,defending,physic,skill_moves
181.5,24,182,75,France,starting_xi,2024,High/Low,Unique,Forward,91,97,90,80,92,36,78,5
185,22,195,94,England,starting_xi,2027,High/Medium,Unique,Forward,91,89,93,66,80,45,88,3
103,32,181,75,England,substitute,2025,High/Medium,Unique,Midfield,91,72,88,94,87,65,78,4
41,36,169,67,USA,starting_xi,2025,Low/Low,Unique,Forward,90,80,87,90,94,33,64,4
51,35,185,81,Saudi Arabia,starting_xi,2026,Medium/Medium,Normal,Forward,90,79,88,83,87,39,78,4
58,34,185,81,Spain,starting_xi,2026,High/Medium,Unique,Forward,90,75,91,80,87,44,84,4
119.5,29,188,85,Germany,starting_xi,2027,High/High,Unique,Forward,90,69,93,84,83,49,83,3
158.5,22,176,73,Spain,substitute,2025,High/High,Lean,Forward,89,95,82,78,90,29,68,5
105.5,27,191,82,England,starting_xi,2027,Medium/High,Normal,Midfield,89,58,73,80,80,85,84,3
106.5,26,187,82,England,starting_xi,2027,Medium/High,Normal,Defender,89,62,39,66,69,89,87,2
85.5,31,175,68,Saudi Arabia,starting_xi,2025,High/Medium,Unique,Forward,89,86,83,85,93,37,61,5
72,31,185,84,England,starting_xi,2026,Medium/High,Unique,Midfield,89,63,75,79,73,89,88,2
70.5,31,193,92,England,starting_xi,2025,Medium/High,Unique,Defender,89,78,60,71,72,89,86,2
85.5,31,175,71,England,starting_xi,2025,High/Medium,Unique,Forward,89,89,87,81,88,45,76,4
130.5,24,182,78,Spain,starting_xi,2027,High/High,Unique,Midfield,88,88,82,84,84,80,82,3
126.5,24,185,78,Italy,starting_xi,2025,High/Medium,Lean,Forward,88,90,86,66,83,42,82,3
88,28,177,75,Germany,starting_xi,2025,High/Medium,Normal,Midfield,88,70,74,88,84,82,79,3
74,32,176,73,Spain,starting_xi,2026,High/High,Unique,Forward,88,80,88,87,88,58,75,4
92,28,179,69,England,starting_xi,2026,High/High,Unique,Midfield,88,71,86,90,83,69,77,4
91.5,28,173,64,England,substitute,2026,High/High,Lean,Midfield,88,69,78,86,92,70,69,4
109,24,178,68,England,starting_xi,2026,High/Medium,Lean,Midfield,87,72,81,88,87,61,64,5
103.5,26,181,74,Spain,starting_xi,2026,High/Medium,Unique,Midfield,87,82,69,86,87,77,78,4
107,25,174,72,Italy,starting_xi,2026,High/Medium,Unique,Forward,87,80,86,71,85,48,85,4
73.5,29,183,75,France,starting_xi,2028,Medium/High,Normal,Defender,87,78,56,75,74,89,80,3
25,37,172,66,Spain,substitute,2024,Medium/Medium,Lean,Midfield,87,72,76,89,87,72,66,4
77,30,183,78,England,starting_xi,2025,High/Medium,Unique,Forward,87,87,88,80,84,42,70,4
134.5,20,184,72,Germany,starting_xi,2026,Medium/Medium,Lean,Midfield,86,85,75,76,91,63,61,5
109,22,183,70,Italy,starting_xi,2027,Medium/Medium,Normal,Forward,86,84,80,81,87,41,71,5
105,20,174,60,Spain,substitute,2026,High/High,Lean,Midfield,86,78,69,82,88,70,74,4
102.5,24,188,81,Italy,starting_xi,2028,Medium/Low,Normal,Forward,86,93,80,75,87,27,76,4
100.5,20,186,75,Spain,starting_xi,2029,High/High,Lean,Midfield,86,76,78,80,85,78,82,4
93,24,188,79,Spain,substitute,2026,Medium/High,Normal,Defender,86,79,51,65,62,86,84,2
99,21,178,65,England,starting_xi,2027,High/Medium,Lean,Forward,86,85,81,79,87,60,70,3
83,23,189,89,Germany,starting_xi,2027,Medium/High,Unique,Defender,86,66,61,64,68,85,86,2
80,25,186,78,Spain,substitute,2025,Medium/High,Unique,Defender,86,85,50,69,71,86,82,2
84,23,181,79,England,starting_xi,2028,Medium/High,Unique,Midfield,86,84,74,81,81,82,84,3
83.5,26,175,68,Italy,starting_xi,2026,High/High,Normal,Midfield,86,78,78,82,85,78,80,3
81,24,180,69,England,starting_xi,2025,High/Medium,Unique,Defender,86,76,69,90,79,80,73,3
86.5,25,175,73,England,bench,2029,Medium/Medium,Normal,Forward,86,82,81,83,88,62,67,5
80,26,178,67,France,starting_xi,2028,High/Medium,Unique,Forward,86,93,77,81,87,36,57,5
23,38,187,85,Saudi Arabia,starting_xi,2025,High/Low,Unique,Forward,86,77,88,75,80,34,74,5
42,33,183,76,Spain,substitute,2024,Medium/Medium,Normal,Midfield,86,51,80,90,81,70,71,3
53.5,32,180,80,Spain,starting_xi,2025,High/Medium,Normal,Midfield,86,62,81,84,86,72,73,4
31.5,34,182,74,Spain,starting_xi,2024,Medium/Medium,Normal,Midfield,86,49,83,90,80,73,69,3
54,32,179,67,Saudi Arabia,starting_xi,2027,Medium/Medium,Unique,Midfield,86,79,81,81,89,38,60,5
57.5,31,174,69,Saudi Arabia,starting_xi,2027,Medium/Medium,Unique,Forward,86,85,83,79,87,44,74,4
59.5,29,182,74,Spain,starting_xi,2024,High/Low,Unique,Defender,86,81,73,85,84,80,72,4
68,29,177,75,Italy,starting_xi,2025,High/Low,Unique,Forward,86,80,85,85,90,40,60,4
45,32,168,70,Saudi Arabia,starting_xi,2026,Medium/High,Unique,Midfield,86,69,65,73,80,85,77,2
59.5,29,178,64,England,starting_xi,2026,High/High,Unique,Defender,86,80,61,82,81,81,77,3
68,28,192,95,Saudi Arabia,starting_xi,2026,High/Medium,Normal,Midfield,86,68,80,82,82,79,86,4
86.5,22,174,64,Spain,starting_xi,2028,Medium/Medium,Lean,Forward,85,88,81,79,86,31,62,4
83.5,20,177,71,Germany,starting_xi,2027,High/Medium,Normal,Midfield,85,74,76,83,87,52,63,4
73.5,25,184,81,Italy,starting_xi,2026,High/Medium,Unique,Defender,85,93,71,76,81,78,84,3
73.5,24,190,75,Italy,starting_xi,2028,Medium/High,Unique,Defender,85,73,35,72,73,86,83,2
81.5,23,171,69,England,starting_xi,2027,High/High,Unique,Forward,85,81,79,82,88,57,60,4
69.5,24,180,75,Spain,starting_xi,2027,High/High,Normal,Defender,85,84,45,68,75,86,80,3
71.5,25,186,70,England,starting_xi,2028,High/Low,Unique,Forward,85,90,86,78,84,42,74,5
67.5,26,178,68,England,substitute,2027,High/High,Normal,Forward,85,82,82,75,85,57,77,4
63,24,185,80,England,starting_xi,2028,Medium/High,Normal,Midfield,85,71,65,75,77,83,83,2
49.5,29,188,76,England,starting_xi,2026,High/Medium,Normal,Defender,85,72,52,75,77,85,77,3
49.5,29,191,85,Saudi Arabia,starting_xi,2026,Medium/Medium,Unique,Defender,85,61,50,73,69,86,78,2
37.5,32,173,71,England,starting_xi,2025,Medium/Medium,Normal,Defender,85,68,65,86,79,82,72,3
34.5,33,185,85,Italy,starting_xi,2026,High/Medium,Unique,Forward,85,85,87,68,78,39,74,3
23,35,176,67,Spain,starting_xi,2025,High/High,Lean,Forward,85,81,85,79,86,35,64,3
37,31,180,78,Spain,starting_xi,2026,Medium/High,Normal,Defender,85,79,71,83,80,85,77,3
44,30,191,81,England,bench,2025,Medium/High,Unique,Defender,85,79,49,64,67,86,78,2
44,30,190,85,Spain,starting_xi,2026,High/High,Lean,Defender,85,82,54,71,66,84,86,2
57.5,27,180,81,England,starting_xi,2027,High/High,Unique,Forward,85,76,76,84,88,53,73,4
52.5,29,178,76,Italy,starting_xi,2027,High/Medium,Normal,Midfield,85,67,80,86,85,70,66,4
54,28,189,82,Germany,substitute,2026,High/Medium,Unique,Midfield,85,78,81,81,83,80,86,3
45,30,185,77,England,substitute,2024,Medium/High,Lean,Midfield,85,68,71,82,80,81,82,3
54.5,28,183,72,Italy,starting_xi,2027,High/Medium,Lean,Forward,85,82,83,81,87,36,72,4
57.5,27,181,75,Germany,starting_xi,2027,Medium/Medium,Unique,Midfield,85,89,76,79,87,30,62,5
47.5,29,183,83,Italy,starting_xi,2028,High/Medium,Normal,Defender,85,85,67,75,79,82,82,3
39,31,172,69,Spain,starting_xi,2025,High/High,Stocky,Defender,85,75,74,83,83,81,84,3
58.5,23,187,81,Spain,starting_xi,2028,Medium/High,Lean,Midfield,84,73,69,79,78,81,81,3
53.5,25,175,70,Italy,substitute,2027,High/Medium,Lean,Midfield,84,80,72,81,86,79,78,4
52.5,25,185,79,Italy,starting_xi,2027,Medium/High,Lean,Defender,84,86,40,59,66,86,82,2
60.5,23,171,67,England,starting_xi,2028,High/Low,Normal,Midfield,84,95,73,75,86,42,59,4
61.5,22,178,75,England,starting_xi,2027,High/High,Lean,Forward,84,89,78,76,86,46,72,4
58.5,24,187,73,France,starting_xi,2028,High/Medium,Lean,Forward,84,91,78,73,86,38,67,4
49.5,25,178,77,England,starting_xi,2027,Medium/High,Normal,Defender,84,73,59,78,79,85,83,3
49,26,188,82,Italy,starting_xi,2027,Medium/High,Stocky,Defender,84,80,50,56,65,85,83,2
55.5,25,182,74,England,starting_xi,2026,High/High,Lean,Midfield,84,71,74,81,84,80,81,3
45,27,195,99,Germany,starting_xi,2026,Medium/Medium,Stocky,Defender,84,73,51,68,62,85,85,3
47,26,183,83,Saudi Arabia,starting_xi,2026,Medium/High,Normal,Midfield,84,60,75,86,77,76,73,3
47,25,190,87,England,starting_xi,2027,Medium/High,Normal,Defender,84,70,41,62,60,85,82,2
50.5,24,181,73,France,starting_xi,2026,High/Low,Lean,Defender,84,92,75,80,80,75,78,4
46,26,190,86,Germany,starting_xi,2028,Low/High,Normal,Defender,84,80,33,58,64,85,84,2
50.5,23,178,87,England,bench,2028,High/Medium,Stocky,Defender,84,80,72,83,82,82,81,3
48.5,27,185,83,Germany,starting_xi,2026,Medium/Medium,Normal,Midfield,84,71,80,84,86,51,70,4
43,27,187,84,England,substitute,2025,High/High,Normal,Midfield,84,55,73,78,78,81,82,3
49.5,26,175,73,England,starting_xi,2028,High/Medium,Lean,Midfield,84,71,81,86,86,54,63,4
42.5,27,184,79,France,starting_xi,2028,Medium/Medium,Unique,Defender,84,76,54,70,70,84,78,2
48,27,189,83,Spain,starting_xi,2025,High/High,Normal,Midfield,84,72,78,82,82,83,82,3
50.5,26,175,73,England,substitute,2027,High/High,Unique,Forward,84,83,82,75,88,40,77,4
49.5,26,176,68,Spain,starting_xi,2027,High/High,Lean,Forward,84,91,79,78,86,53,73,4
50.5,25,175,70,Italy,starting_xi,2025,High/Medium,Unique,Midfield,84,91,82,76,86,53,75,4
49.5,26,180,73,England,starting_xi,2027,High/Medium,Unique,Forward,84,91,81,75,87,34,74,4
7.5,38,183,79,England,starting_xi,2024,Medium/High,Normal,Defender,84,51,54,74,72,87,74,2
22,33,183,83,England,starting_xi,2024,High/High,Unique,Defender,84,90,63,77,78,79,81,3
33,32,174,70,England,substitute,2024,Medium/Medium,Normal,Midfield,84,61,72,86,89,71,67,5
26.5,33,185,76,Germany,substitute,2024,High/High,Lean,Midfield,84,59,82,83,79,55,69,3
20,33,194,81,Italy,starting_xi,2025,Medium/High,Lean,Defender,84,62,47,58,62,87,82,2
41.5,30,191,94,Italy,substitute,2024,Medium/Low,Unique,Forward,84,80,84,74,77,38,82,3
29.5,31,176,75,Spain,starting_xi,2024,Medium/Medium,Normal,Midfield,84,69,72,85,79,79,78,3
40.5,30,183,74,Italy,starting_xi,2025,Medium/Medium,Lean,Midfield,84,69,77,85,84,62,58,4
27.5,32,186,93,Saudi Arabia,starting_xi,2026,Medium/High,Unique,Defender,84,76,48,63,68,84,83,2
42,29,176,78,Spain,substitute,2025,High/Low,Unique,Forward,84,82,82,81,85,30,80,5
45,27,176,77,Germany,substitute,2026,Medium/Medium,Unique,Midfield,84,81,84,78,84,43,68,4
35.5,29,189,86,Germany,starting_xi,2026,High/Medium,Normal,Defender,84,60,59,71,66,85,80,2
41.5,29,181,73,Saudi Arabia,starting_xi,2026,High/High,Lean,Forward,84,88,81,80,85,59,66,4
36,29,188,78,Saudi Arabia,starting_xi,2026,Medium/High,Unique,Midfield,84,59,69,78,77,82,82,3
42,28,191,80,Italy,starting_xi,2024,Medium/Medium,Lean,Midfield,84,78,76,80,80,82,84,3
40.5,27,171,67,Germany,starting_xi,2027,High/Medium,Normal,Defender,84,87,69,83,84,76,72,3
41,29,180,70,Spain,starting_xi,2026,High/Medium,Normal,Midfield,84,78,77,83,82,75,83,4
42,28,170,64,Italy,starting_xi,2027,Medium/Medium,Normal,Midfield,84,71,70,81,83,77,75,3
45,27,183,80,Germany,starting_xi,2025,Medium/Medium,Unique,Midfield,84,91,81,80,85,38,68,4
42.5,28,184,74,Spain,substitute,2027,High/Medium,Lean,Midfield,84,89,78,79,80,78,81,3
36.5,28,187,80,France,starting_xi,2028,Low/High,Unique,Defender,84,78,41,57,67,86,83,2
68.5,18,173,70,Spain,starting_xi,2026,High/High,Normal,Midfield,83,76,66,78,85,68,70,3
53,22,193,85,England,starting_xi,2024,Medium/High,Normal,Defender,83,82,39,69,73,84,82,2
58,22,178,76,England,starting_xi,2031,High/High,Normal,Midfield,83,73,73,81,80,75,79,3
52,22,185,77,Germany,starting_xi,2025,High/Low,Unique,Defender,83,95,66,78,84,74,77,4
55.5,24,189,76,England,starting_xi,2028,Medium/Medium,Lean,Forward,83,85,82,78,84,42,73,4
55.5,23,190,75,Italy,starting_xi,2026,Medium/Medium,Normal,Forward,83,80,85,66,79,29,82,3
49.5,23,191,90,Germany,substitute,2027,High/High,Normal,Defender,83,78,58,67,73,85,82,3
52,22,171,64,Germany,starting_xi,2025,High/Medium,Normal,Defender,83,94,56,75,84,74,70,3
50.5,25,179,72,Germany,starting_xi,2027,Medium/High,Lean,Midfield,83,68,76,82,86,50,59,4
47,23,193,81,England,starting_xi,2027,Medium/High,Normal,Defender,83,65,37,63,66,84,84,2
42,26,191,80,England,starting_xi,2028,Medium/High,Lean,Defender,83,72,38,68,70,84,81,2
